r.nm	G.of.r	g.of.r
0.444	-312.687	0.0496971
0.445	-315.869	0.0421829
0.446	-318.607	0.0360455
0.447	-320.933	0.0311807
0.448	-322.871	0.0275051
0.449	-324.44	0.0249585
0.45	-325.647	0.0235048
0.451	-326.494	0.023135
0.452	-326.973	0.0238678
0.453	-327.063	0.025752
0.454	-326.737	0.0288674
0.455	-325.953	0.0333269
0.456	-324.659	0.0392771
0.457	-322.789	0.0469003
0.458	-320.266	0.0564147
0.459	-316.999	0.0680752
0.46	-312.884	0.0821734
0.461	-307.802	0.0990371
0.462	-301.625	0.119029
0.463	-294.21	0.142543
0.464	-285.403	0.170004
0.465	-275.041	0.201858
0.466	-262.953	0.238573
0.467	-248.964	0.280625
0.468	-232.896	0.328491
0.469	-214.573	0.382641
0.47	-193.826	0.443521
0.471	-170.495	0.511544
0.472	-144.437	0.587074
0.473	-115.532	0.670408
0.474	-83.6858	0.761763
0.475	-48.8385	0.861259
0.476	-10.97	0.968902
0.477	29.8947	1.08457
0.478	73.6797	1.208
0.479	120.253	1.33876
0.48	169.428	1.4763
0.481	220.951	1.61985
0.482	274.51	1.7685
0.483	329.728	1.92118
0.484	386.169	2.07663
0.485	443.342	2.23348
0.486	500.702	2.3902
0.487	557.663	2.54518
0.488	613.603	2.69669
0.489	667.877	2.84299
0.49	719.826	2.98229
0.491	768.792	3.11282
0.492	814.131	3.23288
0.493	855.226	3.34083
0.494	891.503	3.43518
0.495	922.44	3.5146
0.496	947.583	3.57793
0.497	966.554	3.62425
0.498	979.063	3.65288
0.499	984.913	3.66338
0.5	984.006	3.6556
0.501	976.343	3.62967
0.502	962.029	3.58595
0.503	941.266	3.52511
0.504	914.347	3.44803
0.505	881.655	3.35582
0.506	843.647	3.24981
0.507	800.85	3.13147
0.508	753.837	3.00239
0.509	703.229	2.8643
0.51	649.671	2.71893
0.511	593.821	2.56809
0.512	536.338	2.41353
0.513	477.868	2.25697
0.514	419.029	2.10006
0.515	360.41	1.94433
0.516	302.551	1.7912
0.517	245.943	1.64192
0.518	191.02	1.49761
0.519	138.159	1.35921
0.52	87.6707	1.2275
0.521	39.8073	1.1031
0.522	-5.24102	0.986452
0.523	-47.3413	0.877856
0.524	-86.4145	0.777469
0.525	-122.431	0.685322
0.526	-155.404	0.601332
0.527	-185.384	0.525323
0.528	-212.455	0.457038
0.529	-236.724	0.39616
0.53	-258.316	0.342324
0.531	-277.372	0.295139
0.532	-294.036	0.254195
0.533	-308.459	0.219082
0.534	-320.785	0.189397
0.535	-331.154	0.164758
0.536	-339.699	0.144806
0.537	-346.535	0.129219
0.538	-351.769	0.11771
0.539	-355.489	0.110034
0.54	-357.768	0.105987
0.541	-358.663	0.105407
0.542	-358.216	0.108173
0.543	-356.451	0.1142
0.544	-353.382	0.123441
0.545	-349.01	0.135873
0.546	-343.327	0.151502
0.547	-336.317	0.170347
0.548	-327.96	0.192438
0.549	-318.236	0.21781
0.55	-307.126	0.246489
0.551	-294.617	0.27849
0.552	-280.706	0.313805
0.553	-265.398	0.352397
0.554	-248.719	0.394193
0.555	-230.708	0.439075
0.556	-211.427	0.486876
0.557	-190.962	0.537377
0.558	-169.42	0.590299
0.559	-146.937	0.645304
0.56	-123.673	0.701995
0.561	-99.8139	0.759916
0.562	-75.5686	0.818557
0.563	-51.1695	0.877358
0.564	-26.8678	0.935718
0.565	-2.93039	0.993001
0.566	20.3644	1.04855
0.567	42.7318	1.1017
0.568	63.8855	1.15177
0.569	83.544	1.19812
0.57	101.436	1.24013
0.571	117.304	1.27721
0.572	130.923	1.30885
0.573	142.082	1.3346
0.574	150.61	1.35406
0.575	156.375	1.36697
0.576	159.272	1.37312
0.577	159.251	1.37243
0.578	156.302	1.3649
0.579	150.458	1.35065
0.58	141.796	1.32989
0.581	130.433	1.30293
0.582	116.526	1.27017
0.583	100.266	1.23207
0.584	81.874	1.18918
0.585	61.5972	1.14208
0.586	39.7015	1.09142
0.587	16.4671	1.03785
0.588	-7.81734	0.98206
0.589	-32.861	0.924716
0.59	-58.3756	0.86649
0.591	-84.0808	0.808025
0.592	-109.708	0.749935
0.593	-135.005	0.692792
0.594	-159.738	0.637125
0.595	-183.693	0.583408
0.596	-206.679	0.532065
0.597	-228.527	0.483467
0.598	-249.09	0.43793
0.599	-268.243	0.395722
0.6	-285.879	0.357066
0.601	-301.909	0.322144
0.602	-316.26	0.291101
0.603	-328.87	0.264059
0.604	-339.686	0.241115
0.605	-348.661	0.222351
0.606	-355.752	0.207844
0.607	-360.918	0.197665
0.608	-364.115	0.191889
0.609	-365.297	0.190597
0.61	-364.414	0.193878
0.611	-361.41	0.201831
0.612	-356.227	0.214563
0.613	-348.801	0.232192
0.614	-339.066	0.254836
0.615	-326.958	0.282615
0.616	-312.413	0.31564
0.617	-295.377	0.354007
0.618	-275.803	0.397792
0.619	-253.661	0.447033
0.62	-228.94	0.50173
0.621	-201.651	0.561827
0.622	-171.839	0.627209
0.623	-139.577	0.697685
0.624	-104.979	0.772986
0.625	-68.1984	0.852759
0.626	-29.4337	0.936554
0.627	11.0726	1.02383
0.628	53.0319	1.11395
0.629	96.1105	1.20618
0.63	139.932	1.29972
0.631	184.08	1.39365
0.632	228.105	1.48703
0.633	271.529	1.57883
0.634	313.851	1.66799
0.635	354.561	1.75345
0.636	393.146	1.83413
0.637	429.099	1.90898
0.638	461.933	1.977
0.639	491.188	2.03725
0.64	516.444	2.08888
0.641	537.33	2.13115
0.642	553.531	2.16344
0.643	564.799	2.18527
0.644	570.956	2.19633
0.645	571.898	2.19645
0.646	567.602	2.18562
0.647	558.12	2.16402
0.648	543.583	2.13195
0.649	524.199	2.0899
